,0
778,1043
779,0
780,669
781,0
782,574
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,1352
793,229
794,0
795,0
796,0
797,0
798,0
799,0
800,586
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,207
810,907
811,0
812,1494
813,0
814,1358
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,712
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,163
838,0
839,0
840,0
841,0
842,1515
843,0
844,499
845,0
846,0
847,306
848,0
849,0
850,0
851,0
852,1012
853,1511
854,0
855,0
856,83
857,0
858,0
859,12
860,69
861,0
862,555
863,0
864,0
865,0
866,0
867,0
868,0
869,754
870,0
871,0
872,0
873,0
874,0
875,0
876,1469
877,292
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,920
886,0
887,0
888,0
889,679
890,461
891,0
892,1100
893,0
894,0
895,1453
896,0
897,0
898,2
899,0
900,0
901,0
902,1120
903,0
904,0
905,644
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,42
914,0
915,0
916,0
917,1066
918,1498
919,0
920,101
921,0
922,0
923,0
924,1394
925,0
926,0
927,0
928,0
929,0
930,532
931,1530
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,1128
940,0
941,0
942,0
943,1412
944,0
945,0
946,1315
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,172
955,0
956,0
957,0
958,1220
959,0
960,1533
961,0
962,0
963,0
964,0
965,1516
966,0
967,0
968,0
969,910
970,0
971,884
972,78
973,0
974,0
975,0
976,775
977,0
978,84
979,0
980,0
981,330
982,0
983,0
984,0
985,0
986,0
987,0
988,322
989,1144
990,1495
991,0
992,0
993,227
994,0
995,754
996,0
997,0
998,0
999,0
1000,1245
1001,1066
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,74
1010,84
1011,1086
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,248
1026,0
1027,0
1028,0
1029,10
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,259
1039,0
1040,1362
1041,0
1042,0
1043,0
1044,1421
1045,857
1046,1410
1047,0
1048,0
1049,758
1050,144
1051,196
1052,0
1053,204
1054,1469
1055,1298
1056,1199
1057,568
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,1022
1067,0
1068,0
1069,0
1070,106
1071,1469
1072,0
1073,565
1074,0
1075,0
1076,0
1077,0
1078,242
1079,0
1080,337
1081,947
1082,0
1083,0
1084,0
1085,763
1086,1161
1087,0
1088,729
1089,0
1090,0
1091,0
1092,1154
1093,582
1094,1
1095,1388
1096,0
1097,211
1098,0
1099,0
1100,0
1101,1298
1102,444
1103,0
1104,0
1105,0
1106,1018
1107,1217
1108,1333
1109,0
1110,409
1111,0
1112,262
1113,0
1114,171
1115,0
1116,0
1117,1094
1118,0
1119,1067
1120,600
1121,1081
1122,0
1123,0
1124,823
1125,826
1126,1216
1127,0
1128,0
1129,0
1130,716
1131,0
1132,1139
1133,0
1134,0
1135,52
1136,0
1137,0
1138,1083
1139,633
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,18
1147,0
1148,0
1149,1539
1150,0
1151,648
1152,211
1153,0
1154,0
1155,0
1156,0
1157,0
1158,331
1159,0
1160,0
1161,0
1162,0
1163,1489
1164,0
1165,0
1166,1247
1167,1105
1168,0
1169,851
1170,0
1171,0
1172,658
1173,0
1174,659
1175,760
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,1038
1185,0
1186,1315
1187,881
1188,231
1189,0
1190,0
1191,0
1192,0
1193,0
1194,770
1195,0
1196,1402
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,495
1206,0
1207,0
1208,0
1209,0
1210,0
1211,1091
1212,1179
1213,0
1214,0
1215,0
1216,648
1217,0
1218,0
1219,878
1220,0
1221,0
1222,0
1223,845
1224,0
1225,0
1226,0
1227,0
1228,293
1229,694
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,583
1238,85
1239,0
1240,1457
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,782
1255,0
1256,1375
1257,924
1258,0
1259,249
1260,0
1261,0
1262,136
1263,1352
1264,0
1265,0
1266,19
1267,0
1268,600
1269,507
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,805
1279,0
1280,579
1281,713
1282,763
1283,0
1284,376
1285,0
1286,0
1287,0
1288,0
1289,1504
1290,0
1291,0
1292,1210
1293,625
1294,0
1295,0
1296,0
1297,591
1298,957
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,49
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,681
1315,0
1316,1394
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,277
1326,0
1327,0
1328,356
1329,390
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,1440
1340,0
1341,360
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,1208
1351,0
1352,0
1353,0
1354,391
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,1201
1369,124
1370,1315
1371,0
1372,0
1373,1151
1374,0
1375,0
